date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-10-17,31,22,0,8.7,7,72,12,27,27,26,12,14,41,0.2,1013,31,10,230,8
2019-10-18,29,21,0,8.7,7,64,12,25,25,24,13,19,49,2.1,1016,29,10,307,9
2019-10-19,28,20,0,7.2,6,57,9,24,24,23,9,29,42,0.1,1017,28,10,281,6
2019-10-20,29,21,0,7.2,6,50,8,25,25,25,10,16,36,0,1015,29,10,288,7
2019-10-21,31,21,0,8.7,7,43,8,25,25,25,11,2,34,0,1013,31,10,288,8
2019-10-22,30,20,0,8.7,7,35,6,24,24,24,13,18,31,0,1010,30,10,288,8
2019-10-23,30,22,0,7.2,6,28,10,26,26,25,11,32,37,3.8,1011,30,10,297,7
2019-10-24,29,20,0,8.7,7,21,8,25,25,25,11,5,34,0,1012,29,10,293,7
2019-10-25,29,20,0,8.7,7,13,7,24,24,24,11,8,33,0,1013,29,10,266,7
2019-10-26,30,19,0,8.7,7,6,7,24,24,24,11,9,34,0,1014,30,10,282,7
2019-10-27,30,19,0,8.7,7,0,6,24,24,24,12,6,33,0,1013,30,10,292,8
2019-10-28,31,22,0,8.7,7,0,7,25,25,25,11,3,33,0,1013,31,10,284,7
2019-10-29,31,20,0,8.7,7,1,8,25,25,25,11,4,34,0,1014,31,10,275,7
2019-10-30,30,21,0,7.2,6,8,9,25,25,25,9,28,38,2.3,1013,30,10,283,5
2019-10-31,30,20,0,8.7,7,12,10,25,25,24,12,40,41,0.9,1013,30,10,282,8
2019-11-01,26,19,0,8.7,6,24,10,23,23,22,13,31,45,0,1014,26,10,312,8
2019-11-02,27,18,0,8.7,6,31,10,22,22,22,15,15,45,0,1015,27,10,300,10
2019-11-03,28,18,0,8.7,7,39,8,23,23,23,11,6,38,0,1015,28,10,291,8
2019-11-04,28,20,0,8.7,7,46,9,24,24,24,11,2,39,0,1015,28,10,293,8
2019-11-05,27,18,0,7.2,5,54,6,23,23,22,11,43,34,0,1011,27,10,288,7
2019-11-06,23,16,0,4.1,5,61,12,19,19,19,13,78,64,15.1,1010,23,9,260,8
2019-11-07,22,15,0,4.1,4,69,10,17,18,17,15,77,64,15.1,1012,22,9,91,10
2019-11-08,23,15,0,8.7,5,76,9,18,18,18,15,25,56,1.3,1018,23,9,311,11
2019-11-09,26,14,0,8.7,6,84,4,20,20,19,12,4,37,0,1016,26,10,296,7
2019-11-10,26,15,0,8.7,6,91,2,19,19,20,9,5,32,0,1014,26,10,282,6
2019-11-11,25,15,0,8.7,6,99,3,20,20,19,8,17,36,0,1013,25,10,256,4
2019-11-12,25,16,0,8.7,6,100,2,19,19,19,9,46,33,0,1014,25,10,280,5
2019-11-13,24,17,0,8.7,6,86,5,20,20,20,8,43,37,0,1017,24,10,281,5
2019-11-14,24,15,0,4,5,78,8,20,20,19,10,60,45,1.1,1018,24,10,269,6
2019-11-15,23,17,0,5.6,5,71,11,19,20,19,10,70,60,2.4,1019,23,10,155,6
2019-11-16,23,16,0,4,5,63,11,19,19,19,12,75,63,3.8,1019,23,10,268,8
2019-11-17,25,15,0,8.7,6,56,9,19,20,19,17,6,51,0,1018,25,10,314,11
2019-11-18,25,15,0,8.7,6,48,2,19,19,19,14,23,34,0,1014,25,10,308,9
2019-11-19,24,14,0,5.6,5,41,1,18,18,18,10,42,33,0,1014,24,10,286,6
2019-11-20,23,13,0,8.7,6,33,2,18,18,18,7,38,36,0,1015,23,10,266,4
2019-11-21,23,15,0,7.1,5,26,4,19,19,19,14,56,39,0,1019,23,10,331,9
2019-11-22,20,16,0,4,4,18,9,18,18,18,14,75,56,0.7,1020,20,7,7,10
2019-11-23,22,14,0,5.5,4,10,9,17,17,17,13,46,62,0.8,1019,22,10,318,9
2019-11-24,23,14,0,8.7,5,3,7,17,17,17,9,22,50,0,1017,23,10,248,5
2019-11-25,22,14,0,8.7,5,0,7,17,17,17,10,17,50,0,1017,22,10,287,6
2019-11-26,22,14,0,8.7,5,0,5,17,17,17,13,16,45,0,1019,22,10,215,7
2019-11-27,21,14,0,3.9,4,0,7,17,17,17,10,74,52,4,1018,21,10,241,6
2019-11-28,21,12,0,8.7,5,4,7,15,15,15,10,25,57,0.2,1019,21,10,247,6
2019-11-29,20,11,0,8.7,5,12,2,15,15,15,11,19,43,0,1018,20,10,291,6
2019-11-30,21,11,0,8.7,5,20,0,15,15,15,14,9,35,0,1018,21,10,303,8
2019-12-01,22,11,0,8.7,5,26,-4,15,15,15,11,5,28,0,1017,22,10,295,7
2019-12-02,22,12,0,8.7,5,33,-3,16,16,16,13,0,27,0,1018,22,10,301,8
2019-12-03,22,12,0,8.7,5,41,-4,15,15,15,12,15,27,0,1018,22,10,293,7
2019-12-04,25,11,0,8.7,5,48,-3,17,17,17,9,2,26,0,1019,25,10,285,5
2019-12-05,24,13,0,8.7,5,55,-2,17,17,17,9,0,29,0,1021,24,10,281,6
2019-12-06,24,13,0,8.7,5,62,-2,17,17,17,9,0,29,0,1020,24,10,290,6
2019-12-07,24,13,0,8.7,5,70,-4,17,17,17,10,0,25,0,1020,24,10,289,6
2019-12-08,24,11,0,8.7,5,77,-5,15,15,15,9,28,24,0,1019,24,10,280,5
2019-12-09,22,11,0,8.7,5,84,-5,15,15,15,8,24,25,0,1018,22,10,287,5
2019-12-10,21,10,0,5.4,4,92,-5,14,14,14,9,70,25,0,1015,21,10,302,5
2019-12-11,20,11,0,8.7,5,99,4,14,15,14,14,34,50,1.2,1015,20,9,301,9
2019-12-12,17,7,0,7,4,100,5,12,13,12,11,59,58,7.6,1013,17,10,144,9
2019-12-13,14,10,0,5.4,3,87,8,11,11,11,5,70,78,8.9,1013,14,9,162,4
2019-12-14,15,9,0,3.7,3,79,7,11,11,11,14,60,75,13.6,1020,15,9,119,8
2019-12-15,17,9,0,8.7,4,72,4,12,12,12,11,6,59,0,1020,17,10,302,7
2019-12-16,19,10,0,8.7,5,65,0,14,14,14,13,1,37,0,1020,19,10,309,9
2019-12-17,19,10,0,8.7,4,58,-5,12,12,12,14,2,31,0,1022,19,10,308,8
2019-12-18,18,8,0,8.7,4,50,-6,12,12,12,9,33,28,0,1019,18,10,280,5
2019-12-19,19,9,0,7,4,43,-4,12,12,12,9,40,34,0,1017,19,10,276,5
2019-12-20,18,9,0,8.7,4,36,-1,12,12,12,9,13,42,0,1015,18,10,287,5
2019-12-21,19,6,0,8.7,4,28,2,11,12,11,10,5,48,0,1017,19,10,293,7
2019-12-22,20,11,0,8.7,5,21,1,14,14,14,12,0,42,0,1018,20,10,295,8
2019-12-23,18,9,0,7,3,14,-3,12,12,12,9,34,36,0,1016,18,10,287,5
2019-12-24,18,8,0,8.7,4,7,-2,12,13,12,9,11,38,0,1019,18,10,201,6
2019-12-25,19,10,0,8.7,4,0,-4,13,13,13,12,0,31,0,1018,19,10,297,8
2019-12-26,20,9,0,8.7,4,0,-7,12,13,12,9,0,26,0,1017,20,10,284,6
2019-12-27,20,6,0,8.7,4,0,-8,11,12,11,8,4,25,0,1018,20,10,265,5
2019-12-28,20,9,0,8.7,4,8,-5,13,13,13,8,0,29,0,1018,20,10,279,5
2019-12-29,18,6,0,8.7,4,15,-4,10,11,10,9,9,35,0,1019,18,10,274,5
2019-12-30,19,6,0,7,4,22,-4,11,11,11,10,19,37,0,1017,19,10,197,6
2019-12-31,16,6,0,7,4,26,-4,9,9,9,11,31,39,0,1020,16,10,147,6
2020-01-01,17,6,0,7,3,37,-5,10,10,10,9,68,34,0,1022,17,10,230,5
2020-01-02,17,10,0,3.7,3,44,-3,12,12,12,11,81,36,0,1023,17,10,291,6
2020-01-03,17,9,0,3.7,3,51,1,11,12,11,11,79,50,0.7,1018,17,10,283,7
2020-01-04,16,7,0,5.4,3,59,3,10,11,10,12,63,60,0.7,1017,16,10,261,7
2020-01-05,14,6,0,3.8,3,66,-1,9,10,9,13,67,48,0,1019,14,10,270,8
2020-01-06,9,3,0,3.8,2,73,4,7,9,7,8,92,72,6.8,1022,9,8,344,6
2020-01-07,14,7,0,3.8,3,80,6,8,9,8,10,66,82,3.4,1018,14,9,296,8
2020-01-08,13,6,0,3.8,3,88,4,8,9,8,10,54,71,2.7,1015,13,10,301,7
2020-01-09,15,7,0,8.7,4,95,1,10,10,10,11,0,54,0,1019,15,10,300,8
2020-01-10,17,5,0,8.7,4,100,-5,9,10,9,12,23,38,0,1020,17,10,301,8
2020-01-11,16,5,0,7.1,3,100,-6,10,10,10,9,66,33,0,1019,16,10,294,5
2020-01-12,18,10,0,7.1,3,83,3,12,13,12,17,61,52,0.1,1020,18,10,323,11
2020-01-13,9,2,0,3.8,2,76,7,7,9,7,14,95,89,36.5,1010,9,8,92,12
2020-01-14,15,8,0,8.7,4,69,5,9,10,9,15,29,73,13.6,1017,15,9,317,11
2020-01-15,16,7,0,8.7,4,61,3,10,11,10,10,21,58,0,1017,16,10,298,6
2020-01-16,17,8,0,8.7,4,54,1,11,11,11,12,24,49,0.4,1016,17,10,304,7
2020-01-17,17,7,0,8.7,4,47,1,10,11,10,10,14,52,0,1017,17,10,212,5
2020-01-18,16,8,0,7.1,3,40,1,11,11,11,11,23,51,0.6,1019,16,10,297,7
2020-01-19,17,9,0,8.7,4,32,-1,11,11,11,11,16,42,0,1019,17,10,294,7
2020-01-20,16,7,0,8.7,4,25,-2,11,11,11,10,33,41,0,1018,16,10,285,6
2020-01-21,10,7,0,3.8,2,18,4,9,9,9,6,71,70,0.7,1022,10,9,69,5
2020-01-22,15,6,0,8.7,4,11,4,9,10,9,14,8,67,0,1023,15,10,300,10
2020-01-23,17,7,0,8.7,4,3,0,10,11,10,19,2,48,0,1021,17,10,312,12
2020-01-24,17,6,0,8.7,3,0,-4,10,11,10,15,30,35,0,1018,17,10,297,9
2020-01-25,18,9,0,8.7,4,0,1,12,13,12,10,38,47,0,1016,18,10,276,5
2020-01-26,19,8,0,8.7,4,4,4,12,12,12,12,13,57,0,1016,19,10,297,8
2020-01-27,18,8,0,5.5,3,11,3,12,12,12,9,54,52,0,1013,18,10,176,5
2020-01-28,13,8,0,3.9,3,18,6,9,10,9,14,82,75,9.4,1011,13,7,103,11
2020-01-29,14,8,0,3.9,3,26,7,10,11,10,15,85,79,23.9,1017,14,8,121,10
2020-01-30,17,6,0,8.7,4,33,5,10,11,10,11,9,67,0,1018,17,10,286,7
2020-01-31,17,6,0,8.7,4,37,3,11,11,11,7,21,57,0.1,1014,17,10,234,4
2020-02-01,18,7,0,8.7,4,49,3,12,12,12,9,4,56,0,1019,18,10,272,6
2020-02-02,19,9,0,8.7,5,57,1,13,13,13,10,0,44,0,1020,19,10,288,7
2020-02-03,18,7,0,8.7,5,64,0,12,12,12,8,12,43,0,1018,18,10,261,5
2020-02-04,14,8,0,3.9,3,72,2,10,10,10,9,67,56,0.1,1018,14,10,173,5
2020-02-05,18,6,0,8.7,3,79,1,11,11,11,14,19,53,0,1018,18,10,303,8
2020-02-06,17,8,0,8.7,3,87,1,11,11,11,9,30,50,0.1,1014,17,10,226,5
2020-02-07,19,8,0,8.7,5,95,3,13,13,13,11,2,50,0,1019,19,10,290,7
2020-02-08,21,9,0,8.7,5,100,1,15,17,15,8,0,40,0,1022,21,10,199,5
2020-02-09,22,10,0,8.7,5,100,1,16,17,16,9,0,39,0,1022,22,10,257,6
2020-02-10,22,11,0,8.7,5,83,2,16,16,16,9,2,42,0,1019,22,10,286,6
2020-02-11,19,10,0,7.2,4,75,3,14,14,14,15,52,48,0.1,1021,19,10,334,10
2020-02-12,20,13,0,8.7,5,68,7,16,16,16,16,54,56,0,1022,20,10,299,11
2020-02-13,20,13,0,7.2,4,60,9,16,16,16,9,56,63,1.2,1018,20,10,211,6
2020-02-14,21,11,0,8.7,5,53,5,15,17,15,24,1,52,0,1014,21,10,317,15
2020-02-15,23,10,0,8.7,5,45,0,16,17,16,13,23,35,0,1013,23,10,289,8
2020-02-16,24,12,0,8.7,5,38,2,16,17,16,16,27,38,0,1016,24,10,301,10
2020-02-17,24,13,0,8.7,6,30,0,17,18,17,16,8,33,0,1018,24,10,305,10
2020-02-18,25,13,0,8.7,6,22,0,18,18,18,11,4,31,0,1014,25,10,269,7
2020-02-19,22,13,0,7.2,4,15,3,15,16,15,23,50,45,3,1012,22,10,105,14
2020-02-20,20,12,0,5.7,4,7,7,14,15,14,23,56,60,2,1016,20,10,119,15
2020-02-21,24,12,0,8.7,6,0,6,18,20,18,12,4,48,0,1018,24,10,272,8
2020-02-22,23,11,0,8.7,6,0,6,17,18,17,13,20,51,0,1021,23,10,279,8
2020-02-23,24,13,0,8.7,6,0,6,19,19,19,10,5,46,0,1018,24,10,271,6
2020-02-24,24,13,0,8.7,6,0,4,18,18,18,9,5,39,0,1014,24,10,260,6
2020-02-25,25,15,0,11.6,6,8,5,20,20,20,11,2,39,0,1013,25,10,277,7
2020-02-26,25,14,0,11.6,6,15,2,19,19,19,11,6,33,0,1014,25,10,281,7
2020-02-27,26,15,0,11.6,6,23,5,22,22,21,10,24,38,0.1,1015,26,10,220,6
2020-02-28,23,15,0,8.7,5,30,11,19,19,19,11,73,60,4.6,1014,23,10,205,8
2020-02-29,21,14,0,7.3,4,38,11,16,17,16,22,79,71,13.8,1014,21,9,155,15
2020-03-01,25,12,0,11.6,6,44,9,19,19,19,12,27,57,0.4,1015,25,10,292,7
2020-03-02,25,15,0,11.6,6,51,8,20,20,20,10,4,49,0,1013,25,10,256,6
2020-03-03,25,16,0,11.6,6,58,8,22,22,21,11,3,45,0,1011,25,10,279,7
2020-03-04,22,14,0,10.2,4,65,8,18,18,18,12,55,55,2.4,1011,22,10,187,8
2020-03-05,17,13,0,5.9,4,73,10,14,14,14,13,86,74,12.5,1012,17,9,146,10
2020-03-06,14,11,0,5.9,3,80,9,12,12,12,12,81,81,18.7,1011,14,9,51,9
2020-03-07,13,11,0,5.9,3,87,9,10,12,10,20,84,86,13.3,1014,13,9,110,15
2020-03-08,19,11,0,7.3,4,95,9,14,14,14,19,76,71,14,1018,19,9,89,11
2020-03-09,20,10,0,11.6,5,100,5,14,14,14,20,15,54,0,1015,20,10,308,13
2020-03-10,23,11,0,11.6,6,100,5,17,18,17,7,10,47,0,1012,23,10,168,4
2020-03-11,22,12,0,11.6,6,84,7,17,18,17,14,26,54,0,1009,22,10,140,10
2020-03-12,21,13,0,10.2,4,76,9,16,17,16,23,68,65,5.1,1013,21,9,123,17
2020-03-13,19,11,0,7.4,4,69,8,14,15,14,12,63,65,1,1016,19,10,306,9
2020-03-14,21,12,0,10.2,4,62,7,17,19,17,11,40,55,1.2,1015,21,10,246,7
2020-03-15,24,12,0,11.6,6,55,8,18,19,18,10,5,51,0,1017,24,10,273,7
2020-03-16,24,13,0,11.6,6,47,8,19,20,19,9,14,52,0,1017,24,10,278,6
2020-03-17,26,14,0,11.6,6,40,8,20,20,20,11,11,49,0,1016,26,10,287,7
2020-03-18,26,14,0,11.6,6,33,10,21,21,21,10,8,49,0,1014,26,10,286,8
2020-03-19,27,16,0,10.2,5,25,10,23,23,22,11,28,50,0.2,1011,27,10,256,7
2020-03-20,27,16,0,10.2,6,18,11,23,23,22,14,46,56,4.6,1011,27,10,237,9
2020-03-21,24,16,0,8.8,5,11,12,20,21,20,12,66,63,5.8,1013,24,10,169,8
2020-03-22,26,15,0,11.6,6,4,10,21,21,20,13,24,55,1.4,1014,26,10,303,8
2020-03-23,25,16,0,11.6,6,0,10,21,21,21,10,27,50,0.4,1013,25,10,168,7
2020-03-24,22,15,0,6.1,4,0,12,17,18,17,15,79,73,28.5,1014,22,9,71,11
2020-03-25,25,15,0,10.2,5,3,12,21,21,20,11,44,62,0.5,1014,25,10,256,6
2020-03-26,25,17,0,10.2,5,11,12,21,21,20,17,47,58,0.4,1014,25,10,293,11
2020-03-27,15,5,0,6.1,3,18,12,13,14,13,13,89,83,46.1,1013,15,7,30,10
2020-03-28,21,14,0,6.1,4,25,13,17,17,17,14,79,78,19,1016,21,8,177,10
2020-03-29,25,14,0,12.7,6,32,10,20,20,20,11,13,56,0.1,1014,25,10,285,7
2020-03-30,24,16,0,12.7,6,40,10,19,19,19,16,34,55,0,1015,24,10,304,10
2020-03-31,16,10,0,7.9,4,44,11,15,16,15,15,77,76,7.1,1015,16,9,56,11
2020-04-01,25,13,0,8,5,56,13,19,20,19,10,74,70,6.5,1014,25,10,228,7
2020-04-02,24,14,0,12.8,6,64,10,18,19,18,18,20,59,15.1,1013,24,9,307,13
2020-04-03,25,15,0,11.9,5,71,9,20,20,19,12,27,51,0,1013,25,10,299,9
2020-04-04,29,16,0,12.8,7,79,11,24,24,23,10,6,50,0,1012,29,10,281,7
2020-04-05,29,17,0,12.8,7,87,9,23,23,22,14,36,45,0,1013,29,10,92,8
2020-04-06,27,17,0,12.8,5,94,10,23,23,22,16,38,49,0.4,1013,27,10,67,10
2020-04-07,25,16,0,10.6,5,100,11,21,21,20,21,58,58,3.8,1011,25,10,312,14
2020-04-08,28,16,0,12.9,7,100,10,23,23,23,11,15,47,0,1012,28,10,312,7
2020-04-09,29,17,0,12.9,7,83,9,25,25,24,9,14,39,0,1011,29,10,192,5
2020-04-10,29,18,0,12.9,7,76,12,24,24,23,16,23,52,2.2,1014,29,10,304,10
2020-04-11,33,18,0,12.9,8,68,10,28,28,27,12,6,39,0,1015,33,10,290,7
2020-04-12,35,20,0,13,8,61,11,28,28,27,11,12,39,0,1011,35,10,283,7
2020-04-13,32,21,0,13,7,53,13,27,27,27,12,25,43,0.2,1009,32,10,286,7
2020-04-14,32,22,0,13,7,46,14,28,28,26,17,50,50,1.7,1010,32,10,240,12
2020-04-15,32,21,0,12,6,38,15,27,27,26,16,42,53,2.4,1011,32,10,262,10
2020-04-16,30,20,0,13,7,30,11,26,26,25,12,28,42,0,1009,30,10,278,8
2020-04-17,24,17,0,13.1,5,23,12,20,21,20,17,54,59,3.1,1010,24,9,143,12
2020-04-18,25,16,0,8.2,5,15,15,21,21,21,8,80,70,39,1012,25,8,128,5
2020-04-19,29,18,0,13.1,7,8,11,25,25,24,11,16,49,0.1,1011,29,10,241,7
2020-04-20,29,19,0,13.1,7,0,10,25,25,24,11,38,44,1.2,1011,29,10,278,7
2020-04-21,29,18,0,12,6,0,10,24,24,24,10,29,44,0.2,1010,29,10,285,7
2020-04-22,30,20,0,13.2,7,0,11,26,26,25,13,4,41,0,1008,30,10,297,8
2020-04-23,32,21,0,13.2,8,0,11,27,27,27,11,2,38,0,1007,32,10,291,8
2020-04-24,34,23,0,13.2,8,7,11,30,30,30,11,3,35,0,1006,34,10,225,7
2020-04-25,33,22,0,13.2,8,15,11,28,28,28,11,9,36,0,1006,33,10,262,7
2020-04-26,34,23,0,13.2,8,22,10,30,30,29,12,6,35,0,1008,34,10,290,8
2020-04-27,31,22,0,8.3,6,30,14,27,27,26,17,70,47,3.9,1011,31,10,139,11
2020-04-28,29,21,0,10.8,6,37,16,27,27,25,10,42,57,4.4,1012,29,10,250,7
2020-04-29,34,22,0,13.3,8,45,15,29,29,29,8,4,46,0,1009,34,10,147,6
2020-04-30,35,23,0,13.3,8,52,14,30,30,30,12,3,40,0,1008,35,10,266,9
2020-05-01,35,25,0,13.3,7,58,14,30,30,30,17,17,40,0,1007,35,10,252,12
2020-05-02,34,22,0,13.3,7,65,15,29,29,28,12,31,45,1.7,1007,34,10,216,8
2020-05-03,33,22,0,12,7,72,15,28,28,28,13,42,46,5.8,1008,33,10,221,9
2020-05-04,34,24,0,12,7,80,13,29,29,29,9,63,43,4.1,1009,34,10,145,6
2020-05-05,32,22,0,13.4,8,87,14,28,28,27,11,45,45,1.1,1008,32,10,272,9
